name,versions,path,url,rows,bytes,sha256
6300 — גבעתיים,"4,3",data/raw/over_fd06f5ae/files/v3/e00aa2f4_6300.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v3/e00aa2f4_6300.csv,27606,3582274,2bab0dc5e25d0b5f8e5d891c968aea02c594bbab0d8b33810813e0dd7016abd1
9100 — נהרייה,"4,3",data/raw/over_fd06f5ae/files/v3/e0407436_9100.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v3/e0407436_9100.csv,35170,4513082,8f772e4260dcb82c2eacb671d43304dbc52c39c5182b3a3f92a4716523814cda
2560 — ערד,4,data/raw/over_fd06f5ae/files/v4/198051b7_2560.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v4/198051b7_2560.csv,15414,1864468,f7116bbfc6e566b09cfe6ec67ad6bbd2264369aa406b2fa5d292a6c1f0e78117
31 — אופקים,4,data/raw/over_fd06f5ae/files/v4/235bfecd_31.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v4/235bfecd_31.csv,17487,2196153,b6c5c6ec62d5a1e890fb639da56111e6c27b1f1d41684bf2ba45a84f4d0a46e6
2200 — דימונה,4,data/raw/over_fd06f5ae/files/v4/2537d7ea_2200.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v4/2537d7ea_2200.csv,17091,2178032,5346588f10a348918872a663070493b3c511fe46e219da5a58e18beb497fd22d
5000 — תל אביב -יפו,4,data/raw/over_fd06f5ae/files/v4/2e0cb450_5000.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v4/2e0cb450_5000.csv,250853,33682339,18d389807e0798928ea17d275340eb23b2857141b0e21cc35ba0d9c99f197d1b
2630 — קריית גת,4,data/raw/over_fd06f5ae/files/v4/373bf8fd_2630.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v4/373bf8fd_2630.csv,32721,4281532,08a0e379369a1cd925ea128acf799febf6308bae8047601d4b01a8ff6ef3d885
9000 — באר שבע,4,data/raw/over_fd06f5ae/files/v4/48e5d511_9000.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v4/48e5d511_9000.csv,114012,14751962,a88ab60dfb995c42446a9191666e822d276bdc6f05029981573e446b681750c5
0 — יתר היישובים,4,data/raw/over_fd06f5ae/files/v4/674a9fed_0.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v4/674a9fed_0.csv,674340,80356661,056dd932f89e6e9b17765a52db92ad38ba5408e97d6847aaa10dc48914cf51ee
7900 — פתח תקווה,4,data/raw/over_fd06f5ae/files/v4/a00f54eb_7900.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v4/a00f54eb_7900.csv,124367,16477027,2f18780a9dd703b42a7c505878dd642c3e5b9fa905893ec7199847e309f1a9f4
246 — נתיבות,4,data/raw/over_fd06f5ae/files/v4/aabc58e5_246.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v4/aabc58e5_246.csv,24510,3120527,6f5a90f0f5e1c8c96609938223e69724c70bb1952d1ee321df6784a79a44f139
7100 — אשקלון,4,data/raw/over_fd06f5ae/files/v4/fa347797_7100.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v4/fa347797_7100.csv,85409,10900008,8de34771f595d21173a7cd345899d41d91f61626a4c725483f4fb7cd6a29bdd6
