year,rows
1998,82715
1999,95453
2000,82006
2001,83701
2002,81506
2003,76695
2004,83916
2005,89064
2006,96352
2007,110308
2008,104601
2009,112991
2010,119163
2011,98613
2012,115817
2013,127775
2014,118613
2015,139718
2016,129903
2017,118103
2018,122389
2019,129224
2020,130596
2021,189300
2022,151985
2023,107510
2024,141525
2025,127591
2026,50459
