match_definition,city,_property_key,rows,unique_sale_dates,first_date,last_date
parcel_unit_like,אשדוד,אשדוד|2023-84|100.0||1.0|דירה בבית קומות|1998.0,4,2,2003-09-07,2007-07-15
parcel_unit_like,אשדוד,אשדוד|2023-84|100.0||1.0|לא צויין סוג|1998.0,20,10,1998-05-14,2000-03-06
parcel_unit_like,אשדוד,אשדוד|2023-84|100.0||2.0|דירה בבית קומות|1998.0,8,4,2003-05-27,2011-02-13
parcel_unit_like,אשדוד,אשדוד|2023-84|100.0||2.0|לא צויין סוג|1998.0,14,7,1998-01-01,2002-10-30
parcel_unit_like,אשדוד,אשדוד|2023-84|100.0||3.0|דירה בבית קומות|1998.0,4,2,2007-12-24,2009-09-13
parcel_unit_like,אשדוד,אשדוד|2023-84|100.0||3.0|לא צויין סוג|1998.0,10,5,1998-03-02,2002-06-25
parcel_unit_like,אשדוד,אשדוד|2023-84|100.0||4.0|דירה בבית קומות|1998.0,10,5,2003-06-04,2014-02-26
parcel_unit_like,אשדוד,אשדוד|2023-84|100.0||4.0|לא צויין סוג|1998.0,8,4,1998-12-08,2002-05-27
parcel_unit_like,אשדוד,אשדוד|2023-84|120.0|||לא צויין סוג|1998.0,4,2,1998-04-05,2000-08-02
parcel_unit_like,אשדוד,אשדוד|2023-84|125.0||1.0|לא צויין סוג|1998.0,6,3,1999-03-07,2000-11-14
parcel_unit_like,אשדוד,אשדוד|2023-84|125.0||2.0|לא צויין סוג|1998.0,4,2,1999-08-03,2000-05-01
parcel_unit_like,אשדוד,אשדוד|2023-84|125.0||3.0|לא צויין סוג|1998.0,4,2,2000-08-16,2001-01-23
parcel_unit_like,אשדוד,אשדוד|2023-84|125.0||4.0|לא צויין סוג|1998.0,10,5,1998-02-26,2003-04-13
parcel_unit_like,אשדוד,אשדוד|2023-85|100.0||1.0|לא צויין סוג|1999.0,14,6,1998-08-05,1999-07-14
parcel_unit_like,אשדוד,אשדוד|2023-85|100.0||3.0|דירה בבית קומות|1999.0,4,2,2008-02-27,2010-09-16
parcel_unit_like,אשדוד,אשדוד|2023-85|100.0||3.0|לא צויין סוג|1999.0,4,2,1998-12-24,2002-04-11
parcel_unit_like,אשדוד,אשדוד|2023-85|100.0|||לא צויין סוג|1999.0,22,11,1998-08-25,1999-09-05
parcel_unit_like,אשדוד,אשדוד|2023-85|125.0|||לא צויין סוג|1999.0,4,2,1999-04-12,1999-07-04
parcel_unit_like,אשדוד,אשדוד|2026-2|90.0|||מלאכה|1970.0,2,2,2010-07-01,2011-11-08
parcel_unit_like,אשדוד,אשדוד|2029-30|113.6||0.0|תעשיה|1994.0,2,2,2017-06-14,2018-03-04
parcel_unit_like,אשדוד,אשדוד|2029-30|114.31||2.0|מחסנים|1994.0,2,2,2018-08-26,2023-12-17
parcel_unit_like,אשדוד,אשדוד|2029-30|85.84||0.0|מלאכה|1994.0,2,2,2009-09-06,2013-11-03
parcel_unit_like,אשדוד,אשדוד|2029-30|86.58||0.0|תעשיה|1994.0,2,2,2006-01-24,2014-02-20
parcel_unit_like,אשדוד,אשדוד|2029-7|945.0||1.0|תעשיה|1975.0,2,2,2008-06-18,2008-08-24
