match_definition,city,GUSH,FULLADRESS,street,new_date,old_dates_for_property,price_millions,area,rooms,floor,apt type,New_Project,build_year,building age,build_floors,_property_key
parcel_unit_like,אשדוד,2072-3-82,"הבנים, אשדוד",הבנים,2000-11-02,1998-11-08,0.668,100.0,,5.0,לא צויין סוג ,2nd hand,1999.0,1.0,13.0,אשדוד|2072-3|100.0||5.0|לא צויין סוג|1999.0
parcel_unit_like,אשדוד,2023-84-52,"רשב""י, אשדוד","רשב""י",2000-11-14,1999-03-07,0.498,125.0,,1.0,לא צויין סוג ,2nd hand,1998.0,2.0,4.0,אשדוד|2023-84|125.0||1.0|לא צויין סוג|1998.0
parcel_unit_like,אשדוד,2023-84-52,"רשב""י, אשדוד","רשב""י",2000-11-14,1999-03-07,0.498,125.0,,1.0,לא צויין סוג ,2nd hand,1998.0,2.0,4.0,אשדוד|2023-84|125.0||1.0|לא צויין סוג|1998.0
parcel_unit_like,אשדוד,2449-8-8,"הציונות, אשדוד",הציונות,2000-12-26,1998-03-03,0.477,75.0,,4.0,לא צויין סוג ,New Project,2000.0,0.0,9.0,אשדוד|2449-8|75.0||4.0|לא צויין סוג|2000.0
parcel_unit_like,אשדוד,2023-16-3,"רב ינאי, אשדוד",רב ינאי,2001-03-23,1999-05-25,0.505,100.0,,1.0,לא צויין סוג ,2nd hand,2000.0,1.0,4.0,אשדוד|2023-16|100.0||1.0|לא צויין סוג|2000.0
parcel_unit_like,אשדוד,2023-16-3,"רב ינאי, אשדוד",רב ינאי,2001-03-23,1999-05-25,0.505,100.0,,1.0,לא צויין סוג ,2nd hand,2000.0,1.0,4.0,אשדוד|2023-16|100.0||1.0|לא צויין סוג|2000.0
parcel_unit_like,אשדוד,2071-253-103,"ארלוזורוב, אשדוד",ארלוזורוב,2001-05-06,1998-07-30,0.428,75.0,,4.0,לא צויין סוג ,2nd hand,1999.0,2.0,12.0,אשדוד|2071-253|75.0||4.0|לא צויין סוג|1999.0
parcel_unit_like,אשדוד,2023-84-9,"רשב""י, אשדוד","רשב""י",2001-12-30,1998-01-01;1998-06-11;1998-09-09;1999-05-02,0.474,100.0,,2.0,לא צויין סוג ,2nd hand,1998.0,3.0,4.0,אשדוד|2023-84|100.0||2.0|לא צויין סוג|1998.0
parcel_unit_like,אשדוד,2023-84-9,"רשב""י, אשדוד","רשב""י",2001-12-30,1998-01-01;1998-06-11;1998-09-09;1999-05-02,0.474,100.0,,2.0,לא צויין סוג ,2nd hand,1998.0,3.0,4.0,אשדוד|2023-84|100.0||2.0|לא צויין סוג|1998.0
parcel_unit_like,אשדוד,2023-85-25,"רב ינאי, אשדוד",רב ינאי,2002-04-11,1998-12-24,0.533,100.0,,3.0,לא צויין סוג ,2nd hand,1999.0,3.0,4.0,אשדוד|2023-85|100.0||3.0|לא צויין סוג|1999.0
parcel_unit_like,אשדוד,2023-85-25,"רב ינאי, אשדוד",רב ינאי,2002-04-11,1998-12-24,0.533,100.0,,3.0,לא צויין סוג ,2nd hand,1999.0,3.0,4.0,אשדוד|2023-85|100.0||3.0|לא צויין סוג|1999.0
parcel_unit_like,אשדוד,2071-57-8,"אליאשוילי, אשדוד",אליאשוילי,2002-05-19,1998-03-30;1998-11-29;1999-03-02,0.65,125.0,,8.0,לא צויין סוג ,2nd hand,1996.0,6.0,3.0,אשדוד|2071-57|125.0||8.0|לא צויין סוג|1996.0
parcel_unit_like,אשדוד,2023-84-50,"רשב""י, אשדוד","רשב""י",2002-05-27,1998-12-08;1999-02-10;1999-06-16,0.497,100.0,,4.0,לא צויין סוג ,2nd hand,1998.0,4.0,4.0,אשדוד|2023-84|100.0||4.0|לא צויין סוג|1998.0
parcel_unit_like,אשדוד,2023-84-50,"רשב""י, אשדוד","רשב""י",2002-05-27,1998-12-08;1999-02-10;1999-06-16,0.497,100.0,,4.0,לא צויין סוג ,2nd hand,1998.0,4.0,4.0,אשדוד|2023-84|100.0||4.0|לא צויין סוג|1998.0
